start	end	text
0	2000	Let's see if we can do that.
6000	8000	Okay, discussion.
20000	22000	I'm going to start with CW.
22000	24000	I'm going to start with the training method.
24000	26000	Mm-hmm.
26000	28000	Yeah?
28000	30000	Oh.
30000	32000	So, the easier one.
34000	36000	Take my speed to my speed stats.
36000	38000	Yeah, go ahead.
38000	40000	I've looked at that very closely.
40000	42000	Yeah?
42000	44000	I have very detailed notes.
44000	46000	Okay.
46000	48000	Alex is there.
48000	50000	Is that it?
50000	52000	Well, you can say the second, okay?
54000	56000	Alex?
56000	58000	I hear you.
58000	60000	Okay, of course.
60000	62000	So, according to Alex, just so you know, yeah?
62000	64000	Yeah, yeah, sure.
64000	66000	I will just mainly listen
66000	68000	and I don't know how much time
68000	70000	I really got.
70000	72000	My daughter wakes up, I have to take care of her.
72000	74000	We understand.
74000	76000	It's all cool.
76000	78000	Yeah, because I'll use this transcription then,
78000	80000	like you'll get it to be auto transcribed.
80000	82000	And then you can...
82000	84000	Yeah, sure.
84000	86000	You can turn on the light
86000	88000	so that Claude can better see.
90000	92000	I should have just let Claude join this meeting there.
92000	94000	Yeah.
94000	96000	Well, the telecom said
96000	98000	that they will put
98000	100000	the chatbot
100000	102000	or AI into their
102000	104000	into their landline.
104000	106000	No, mobile line.
106000	108000	And then...
108000	110000	But you can request it in the beginning
110000	112000	of the call
112000	114000	or at the end you can ask for summary
114000	116000	and stuff like that
116000	118000	or ask questions during the call.
118000	120000	What?
120000	122000	Lightly...
122000	124000	concerning.
124000	126000	Okay, well, good.
126000	128000	I think it's already clear that this is not possible.
128000	130000	Impossible.
130000	132000	You'd have to opt in
132000	134000	actually with an in signature, I think.
134000	136000	I think that's the only way.
136000	138000	Both parties, absolutely.
138000	140000	Yeah, good.
140000	142000	Yeah, I think...
142000	144000	I thought that the best way maybe is
144000	146000	that I show you
146000	148000	just a short sketch of the proof
148000	150000	I have for positive semi-definite
150000	152000	matrices because it's...
152000	154000	I would say it's pretty much straight forward.
154000	156000	And
156000	158000	you have to say, I mean, we can start
158000	160000	with the problem of just feasibility
160000	162000	because optimality
162000	164000	just comes with another
164000	166000	with an additional constraint
166000	168000	like I said.
168000	170000	It's most
170000	172000	more or less the same thing.
172000	174000	The simplest thing first.
174000	176000	Okay, so let's say
176000	178000	I don't want to...
178000	180000	Okay.
180000	182000	Let's say we have some
184000	186000	set C
186000	188000	and
188000	190000	that is X
190000	192000	I will write this populist
192000	194000	you just...
194000	196000	make it too complex
198000	200000	and
200000	202000	we will also get it from
202000	204000	reals to complex numbers.
204000	206000	Just one check.
206000	208000	We have to change one number.
208000	210000	These are real positive
210000	212000	symmetric.
212000	214000	Let's start by real positive symmetric
214000	216000	matrices.
216000	218000	Well, yeah.
218000	220000	And what we're looking for
220000	222000	is that they
222000	224000	obey
224000	226000	some
226000	228000	some
228000	230000	positive relations
230000	232000	for all I
234000	236000	and...
236000	238000	Yeah.
238000	240000	Yeah, so you can write it as trace
240000	242000	it's just because I was too lazy
242000	244000	at some point to always write trace.
244000	246000	And
246000	248000	so we can write X of A
250000	252000	which...
252000	254000	When we go to...
254000	256000	Okay, maybe you're right.
256000	258000	Yeah.
258000	260000	Just stick with this for now.
260000	262000	Just stick with this because in the end
262000	264000	it becomes kind of important.
264000	266000	So, and the proof is
266000	268000	as I said is pretty much straightforward.
268000	270000	We assume
274000	276000	that there is...
276000	278000	We assume
280000	282000	this
282000	284000	X
284000	286000	element C
286000	288000	such that
290000	292000	the
292000	294000	rank
294000	296000	of X
296000	298000	equals R.
298000	300000	So
300000	302000	what it follows from this is that
302000	304000	you can write X
304000	306000	as B
308000	310000	that one
310000	312000	VB
312000	314000	VT
314000	316000	and
316000	318000	B
318000	320000	is
320000	322000	positive definite.
322000	324000	So it's a material.
324000	326000	Clear?
326000	328000	And by the way
328000	330000	you can also determine these
330000	332000	up front if you know.
332000	334000	Do you want the Vs to be R by N matrices now?
334000	336000	Yeah.
336000	338000	Yeah.
338000	340000	So,
340000	342000	some
342000	344000	are N matrix
346000	348000	and they are
348000	350000	like...
350000	352000	You can see this
352000	354000	pretty fast.
354000	356000	They are orthogonal to the kernel
356000	358000	of X of R.
358000	360000	The columns of it are
360000	362000	some vectors that
362000	364000	span all following the company.
364000	366000	And so when you're here
366000	368000	you can
370000	372000	you can define
372000	374000	how we will
374000	376000	define
378000	380000	the problem in a hat
380000	382000	is equal to
382000	384000	VT
384000	386000	VI
386000	388000	V
388000	390000	and therefore
392000	394000	any feasible X
394000	396000	can be written
396000	398000	as
404000	406000	AI
408000	410000	equals
410000	412000	VI. So we know
412000	414000	that this is true
416000	418000	and since this
418000	420000	is feasible we will
420000	422000	define another function
422000	424000	and
424000	426000	I will just
426000	428000	call this function
428000	430000	PI and
430000	432000	it goes
432000	434000	from the symmetric
436000	438000	R by R matrices
440000	442000	to
444000	446000	to
448000	450000	the
452000	454000	space RR. This
454000	456000	composition is being recorded on Zoom
456000	458000	just so you know.
460000	462000	And each
462000	464000	like
464000	466000	this five takes in
466000	468000	a second
468000	470000	this five takes in
470000	472000	some
474000	476000	V
476000	478000	and the I component of it
478000	480000	is simply
482000	484000	AI
484000	486000	V
486000	488000	and now it's pretty much straightforward.
490000	492000	You know from
492000	494000	from the rank
494000	496000	nullity
496000	498000	theorem
502000	504000	you know that
506000	508000	the
508000	510000	value
510000	512000	that
512000	514000	difference
516000	518000	in R
518000	520000	must be equal
520000	522000	to
522000	524000	the
524000	526000	random
526000	528000	five
528000	530000	of
530000	532000	the
532000	534000	image fine
534000	536000	and
536000	538000	and
538000	540000	you know that
540000	542000	this is equal to
542000	544000	the real dimension of it
544000	546000	R times
546000	548000	R plus one over two
550000	552000	and you know that
552000	554000	the image of
554000	556000	five
556000	558000	I have to check something this is
558000	560000	sorry this is not R this is N
560000	562000	and
562000	564000	so well now it depends
564000	566000	on how these
566000	568000	type of things that
568000	570000	are defined by the AI
570000	572000	within the
572000	574000	ambience space but you can say that this
574000	576000	is at most M.
576000	578000	So what you see from here is
578000	580000	that
580000	582000	the dimension
582000	584000	of
584000	586000	serial I
586000	588000	and
588000	590000	and
590000	592000	must be
592000	594000	here
616000	618000	and
618000	620000	so
620000	622000	this means
622000	624000	if this is
624000	626000	a number that is larger
626000	628000	or equal larger equal than one
628000	630000	and you will always
